Username,Comment
@user-zk8ew2bg6y,"0:58 JBL - John Bradshaw Layfield. 
You know… I know"
@tushargarg.7,Wow no where in video mentioned paid review. Just wow
@sreehari.r1292,"Please make a comparison video of motorola  edge 40, samsung f54, and real me 11pro plus...and please suggest a phone  under 30k..."
@jatinkumar7287,Me watching a phone camera review in 144p yes I can see the difference
@satyajitshinde099,Brand Collab/Promotional video tag is missing 
@bedagronisaha830,Please make videos on best camera smartphones under 20K and 15K
@saswatsarangi6669,Bypass charging should be everywhere
@ur_just_v,YouTubers when they test audio on YouTube 
@prabhakar.m,NFC also included
@vinaysinghj,Make a video about NFC how to use in india
@aayush007,Please make a video on Infinix X2 slim laptop.
@siddarthasiddu5205,I think video is collab with infinix....Infinix phones will be good for old people in budget...Normal people may be will not like it!
@timbking9687,Please review Meizu 20 or wait for the 20  pro and review it for us I haven't seen anyone talk much about it on YouTube
@lancergt1000,"oh man you should've reviewed the Note 30 Pro, that phone is the cheapest phone with wireless charging by far"
@androidchla8663,Bro top 5 neckband under 2k new
@chandan7124,What is the zoom up to x?  I have seen your video 10 times but you have not cleared it anywhere.
@gpothana9933,Samsung owns JBL (indirectly)
@desertninjatechboi01,Bro your videos are the best. Please review VAIO Z laptop also. Love from Chennai!!
@alvinvinod6533,can u pls make a review of asus vivobook 16 x
@bishh8740,want mid range phone video
@roshanrajseth6260,Which earphone do you use??
@richamith8094,I own JBL  didn't wanted to let anyone know my secret
@bharathis4382,Samsung owns JBL yaar!!
@ArpitNahiMila,I guess samsung owns jbl.
@hyper-thegamechanger3667,JBL owned by Harman owned by Samsung 
@theprathamshaw,Samsung owns Harman ... (whatever the whole name is lol)
@sarthakshroti7194,For the second time you already have video on a infinix phone on the channel
@ferrousansari,The owner of JBL owns JBL. Without googling.
@k.l.nandan6721,Does anyone own a tecno camon 20 pro. Can you plz tell me how it is and is tecno a good company.
@saswatsarangi6669,Moisture warning is good
@tarushjain,Samsung owns JBL i think and many more brands...
@danthetracker,"Samsung, the grandfather "
@tjs-snapntech9740,sad to hear that a phone reviewer is trying infinix for the first time
@Rahul-et8vt,Infinix note 12 user
@abhinavanand5517,Harman owns JBL and Samsung owns Harman
@nisomsom,How is 1 year update good? Others offer 2 years at this price too
@saswatsarangi6669,Well didn't say chipset at the beginning but ok. Still 45 watt n JBL? Weird?
@HBN69,6:40  realme was not harmed
@akksakku5733,2:50 of course you won't notice it if you dont show it!
@41avallisadatta61,Harman kardan Sayan this is too much
@deadpooleditzz717,3 year old realme 6 with 60fps 
@sasank4360,review tecno camon 20 pro 5g
@AGNELMAMMENBTechCSEA,"Hi!
JBL is a sub-brand of Harman."
@sougaaat,Samsung owns Harman Kardon. And they own JBL.
@Habibi2898-uu8pc,It is a collab 
@harshavardannarake138,Samsung owns jbl... And also samsung owns harman
@ananthaithal6581,Jbl is owned by their shareholders
@henilpadharia9353,3:35 
@kds2723,"JBL is owned by Harman International, an independent subsidiary of Samsung Electronics~From:-Wikipedia."
@someonewithsomename.4044,"Samsung owns JBL, AKG, HARMAN!"
@alanzote9411,The owner 
@scorpus_gaming,Please dont use this phone i brought two infinix phones gave it to my brothers as gift now they are yelling at me because the is getting corrupted 
@halalmode,Samsung good as always
@abhijitha.a,infinix laptops are better than smartphones.
@ayushnanda5087,JBL –> Harman –> Samsung
@marufulgoni9197,Jbl owned by Samsung I guess 
@owneracc,jbl is owned by sumsung without google
@yashmurariya8730,samssung owns jbl indirectly
@suryanshtiwari407,By Harmon which is further owned by Samsung
@user-my8bp2mv4p,6:02 this isn't what the title says
@sumedhpradhan,Bro called Jio cinema a bloatware..
@bobby9501,Infinix x2 slime laptop review
@onethbevin6834,Samsung owns JBL
@badrishkkalangi918,Samsung Own it
@adityakathalkar531,Rahul Gandhi is the owner of JBL
@sasidhar7265,Moto edge 40 review
@AbhishekSingh-pt9xj,Samsung
@anandurajendran3864,harman owns jbl???
@kunal31011995,Does crappy music sounds good on a great headset and does great music sounds bad on crappy headset ? 
@craftkafe4558,probably volkswagon they own everything they are coming for your soul volkswagon das auto
@africa_everyday,Is this a paid review or not? Pls answer
@alexbrodmen,collabWiser 
@lancergt1000,the legend of the Kingfinix 
@sajosunny3579,No realme harmed
@ManishKumar-tn7xt,Sumsung own the JBL
@0harman_garcha,Me owns JBL
@f4ru,So Who Owns JBL ?
@aromalvijay4354,jbl owned by harman owned by samsung
@neeleshkumarvishwakarma562,"Samsung owns Harman, which owns JBL"
@JAIINDRADEVA,Paisa pheko tamasha dekho.
@jeevanl3373,Mi pad 6
@NarottamKumar,Harman International owns jbl
@harshithv4769,Samsung is a parent company
@satish170,jbl is owned by modi
@ramitzzzpc7049,Samsung?
@jitendrakumar-lh9xu,samsoong own JBL
@debojitsen6250,An additional feature infinix offers is the worst after sell service! I'm a infinix user. I will never recommend infinix mobile.
@asparagusg322,Harman owns jbl
@abhisheksaini98,Samsung owned JBL
@mitterfox98,I somehow guessed corrctly
@Ritwik_Panja,Think so its Samsung 
@forex_god,Realme too many bloatwares
@debjyotidas8918,JbL owned by Samsung
@mayankkushwaha4097,First 
@chiranshugupta9240,Samsung owns JBL.
@GadgetVloggerBhowmik,"When Techwiser Rviews an Infinix device around 15000, u realise the brand has grown in Stature."
@sualehirfan2514,Also you haven't tried Nokia
@madplanet7,First 
@awadheshkumar4390,samsung owns jbl
@saswatsarangi6669,50 bloatware? Samsung?
@santoshkumar-pg9rs,Samsung owns jbl
@K1ngCh1cken,samsung
@soumenchakraborty6280,Samsung
@DhavalSinghomniverse,JBL = samsung
@saswatsarangi6669,"Very big video what's that , I mean  with very big is what"
@BlakeRyder-zs6iz,where is the review for poco f5 aaaaaaaaaaaaaaaaaaaaaaaaaaaaahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh ?
@0852366666666,#paidvideo...infinix phones are trash
@Kavyatej,not samsung
@harshitbhambrah,JBL is owned by Samsung
@saswatsarangi6669,Ears r blurred in the portrait
@pratapvardan007,It’s Samsung
@dendemello,Harman kardon
@sarthakdoiphode3556,Damm
@Aakshai1211,1st one to view
@shade2303,get a new host for this channel
@PriyanshuGuptaYoutube,Hum first
@MrVoocGaming,Pathetic phone 
@WhatThe8236,iTS cRINGE bUT IN AM first
@SuriM77,Harman Kardon
@aaronsanthosh-kp8sj,harman kardon
@sampath_shetty,Samsuuunggggghh
@CCBROZ,Harman
@callofdutymobileplayerkrig341,Indiano
@swayamkumarsahoo8243,Harmon
@ruthless2345,JBL - john Bradshaw layfield
@senthamizhselvantamizh,Samsung 
@pushaan1,Samsung owns JBL
@ashwynjoelfilms8364,Samsung owns jbl
@pranavch5542,Samsung
@suprabhdwivedi9207,Harman
@midhileshchinta,Samsung owns JBL
@AbhishekAdhikari84,Samsung owns JBL
@navaneeth6660,Samsung owns JBL
@rael2926,Samsung
@rrrr3666,Samsung
@bobby-eq8zw,Samsung
